,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,fKey,ActivityDay,StepTotal,dayOfWeek
0,0,0,0,0,0,0,1,2016-04-13,10735,We
1,1,1,1,1,1,1,8,2016-04-20,10544,We
2,2,2,2,2,2,2,15,2016-04-27,18134,We
3,3,3,3,3,3,3,22,2016-05-04,11100,We
4,4,4,4,4,4,4,29,2016-05-11,12770,We
5,5,5,5,5,5,5,32,2016-04-13,7007,We
6,6,6,6,6,6,6,39,2016-04-20,4974,We
7,7,7,7,7,7,7,46,2016-04-27,8367,We
8,8,8,8,8,8,8,53,2016-05-04,2193,We
9,9,9,9,9,9,9,60,2016-05-11,3134,We
10,10,10,10,10,10,10,63,2016-04-13,8001,We
11,11,11,11,11,11,11,70,2016-04-20,2436,We
12,12,12,12,12,12,12,77,2016-04-27,3032,We
13,13,13,13,13,13,13,84,2016-05-04,2309,We
14,14,14,14,14,14,14,91,2016-05-11,1329,We
15,15,15,15,15,15,15,93,2016-04-13,4929,We
16,16,16,16,16,16,16,100,2016-04-20,8,We
17,17,17,17,17,17,17,107,2016-04-27,4,We
18,18,18,18,18,18,18,114,2016-05-04,2080,We
19,19,19,19,19,19,19,121,2016-05-11,0,We
20,20,20,20,20,20,20,124,2016-04-13,356,We
21,21,21,21,21,21,21,131,2016-04-20,0,We
22,22,22,22,22,22,22,138,2016-04-27,0,We
23,23,23,23,23,23,23,145,2016-05-04,1786,We
24,24,24,24,24,24,24,152,2016-05-11,0,We
25,25,25,25,25,25,25,155,2016-04-13,12024,We
26,26,26,26,26,26,26,162,2016-04-20,15112,We
27,27,27,27,27,27,27,169,2016-04-27,10159,We
28,28,28,28,28,28,28,176,2016-05-04,11768,We
29,29,29,29,29,29,29,183,2016-05-11,13272,We
30,30,30,30,30,30,30,186,2016-04-13,4993,We
31,31,31,31,31,31,31,193,2016-04-20,7222,We
32,32,32,32,32,32,32,200,2016-04-27,6088,We
33,33,33,33,33,33,33,207,2016-05-04,6564,We
34,34,34,34,34,34,34,214,2016-05-11,8580,We
35,35,35,35,35,35,35,217,2016-04-13,7275,We
36,36,36,36,36,36,36,224,2016-04-20,7192,We
37,37,37,37,37,37,37,231,2016-04-27,1715,We
38,38,38,38,38,38,38,238,2016-05-04,1201,We
39,39,39,39,39,39,39,245,2016-05-11,6424,We
40,40,40,40,40,40,40,248,2016-04-13,10352,We
41,41,41,41,41,41,41,255,2016-04-20,10999,We
42,42,42,42,42,42,42,262,2016-04-27,11423,We
43,43,43,43,43,43,43,266,2016-04-13,7618,We
44,44,44,44,44,44,44,273,2016-04-20,9202,We
45,45,45,45,45,45,45,280,2016-04-27,3516,We
46,46,46,46,46,46,46,287,2016-05-04,8278,We
47,47,47,47,47,47,47,294,2016-05-11,6440,We
48,48,48,48,48,48,48,297,2016-04-13,9715,We
49,49,49,49,49,49,49,304,2016-04-20,4880,We
50,50,50,50,50,50,50,311,2016-04-27,7904,We
51,51,51,51,51,51,51,317,2016-04-13,10035,We
52,52,52,52,52,52,52,324,2016-04-20,11658,We
53,53,53,53,53,53,53,331,2016-04-27,7193,We
54,54,54,54,54,54,54,338,2016-05-04,13559,We
55,55,55,55,55,55,55,345,2016-05-11,746,We
56,56,56,56,56,56,56,347,2016-04-13,0,We
57,57,57,57,57,57,57,354,2016-04-20,0,We
58,58,58,58,58,58,58,361,2016-04-27,0,We
