,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,fKey,ActivityDay,StepTotal,dayOfWeek
0,0,0,0,0,0,0,5,2016-04-17,9705,Su
1,1,1,1,1,1,1,12,2016-04-24,10039,Su
2,2,2,2,2,2,2,19,2016-05-01,10602,Su
3,3,3,3,3,3,3,26,2016-05-08,10060,Su
4,4,4,4,4,4,4,36,2016-04-17,6175,Su
5,5,5,5,5,5,5,43,2016-04-24,6076,Su
6,6,6,6,6,6,6,50,2016-05-01,36019,Su
7,7,7,7,7,7,7,57,2016-05-08,3427,Su
8,8,8,8,8,8,8,67,2016-04-17,8757,Su
9,9,9,9,9,9,9,74,2016-04-24,3321,Su
10,10,10,10,10,10,10,81,2016-05-01,6132,Su
11,11,11,11,11,11,11,88,2016-05-08,6724,Su
12,12,12,12,12,12,12,97,2016-04-17,4525,Su
13,13,13,13,13,13,13,104,2016-04-24,0,Su
14,14,14,14,14,14,14,111,2016-05-01,2573,Su
15,15,15,15,15,15,15,118,2016-05-08,0,Su
16,16,16,16,16,16,16,128,2016-04-17,0,Su
17,17,17,17,17,17,17,135,2016-04-24,2090,Su
18,18,18,18,18,18,18,142,2016-05-01,2704,Su
19,19,19,19,19,19,19,149,2016-05-08,0,Su
20,20,20,20,20,20,20,159,2016-04-17,15112,Su
21,21,21,21,21,21,21,166,2016-04-24,13481,Su
22,22,22,22,22,22,22,173,2016-05-01,10538,Su
23,23,23,23,23,23,23,180,2016-05-08,3292,Su
24,24,24,24,24,24,24,190,2016-04-17,838,Su
25,25,25,25,25,25,25,197,2016-04-24,3490,Su
26,26,26,26,26,26,26,204,2016-05-01,3609,Su
27,27,27,27,27,27,27,211,2016-05-08,5528,Su
28,28,28,28,28,28,28,221,2016-04-17,6198,Su
29,29,29,29,29,29,29,228,2016-04-24,4165,Su
30,30,30,30,30,30,30,235,2016-05-01,772,Su
31,31,31,31,31,31,31,242,2016-05-08,5161,Su
32,32,32,32,32,32,32,252,2016-04-17,5472,Su
33,33,33,33,33,33,33,259,2016-04-24,9471,Su
34,34,34,34,34,34,34,270,2016-04-17,2524,Su
35,35,35,35,35,35,35,277,2016-04-24,6873,Su
36,36,36,36,36,36,36,284,2016-05-01,7399,Su
37,37,37,37,37,37,37,291,2016-05-08,8168,Su
38,38,38,38,38,38,38,301,2016-04-17,8199,Su
39,39,39,39,39,39,39,308,2016-04-24,6731,Su
40,40,40,40,40,40,40,315,2016-05-01,3077,Su
41,41,41,41,41,41,41,321,2016-04-17,10415,Su
42,42,42,42,42,42,42,328,2016-04-24,14112,Su
43,43,43,43,43,43,43,335,2016-05-01,10414,Su
44,44,44,44,44,44,44,342,2016-05-08,13585,Su
45,45,45,45,45,45,45,351,2016-04-17,16,Su
46,46,46,46,46,46,46,358,2016-04-24,0,Su
47,47,47,47,47,47,47,365,2016-05-01,0,Su
48,48,48,48,48,48,48,372,2016-05-08,5862,Su
49,49,49,49,49,49,49,386,2016-04-17,29,Su
50,50,50,50,50,50,50,393,2016-04-24,4081,Su
51,51,51,51,51,51,51,400,2016-05-01,1251,Su
52,52,52,52,52,52,52,407,2016-05-08,3672,Su
53,53,53,53,53,53,53,417,2016-04-17,4660,Su
54,54,54,54,54,54,54,424,2016-04-24,10243,Su
55,55,55,55,55,55,55,431,2016-05-01,10255,Su
56,56,56,56,56,56,56,438,2016-05-08,17298,Su
57,57,57,57,57,57,57,448,2016-04-17,2268,Su
58,58,58,58,58,58,58,455,2016-04-24,5002,Su
59,59,59,59,59,59,59,462,2016-05-01,5232,Su
60,60,60,60,60,60,60,469,2016-05-08,7303,Su
61,61,61,61,61,61,61,479,2016-04-17,9634,Su
62,62,62,62,62,62,62,486,2016-04-24,8563,Su
63,63,63,63,63,63,63,493,2016-05-01,3428,Su
64,64,64,64,64,64,64,500,2016-05-08,6543,Su
65,65,65,65,65,65,65,510,2016-04-17,12692,Su
66,66,66,66,66,66,66,517,2016-04-24,15050,Su
67,67,67,67,67,67,67,524,2016-05-01,0,Su
68,68,68,68,68,68,68,531,2016-05-08,12857,Su
69,69,69,69,69,69,69,541,2016-04-17,655,Su
70,70,70,70,70,70,70,548,2016-04-24,1807,Su
71,71,71,71,71,71,71,555,2016-05-01,5164,Su
72,72,72,72,72,72,72,562,2016-05-08,6083,Su
73,73,73,73,73,73,73,572,2016-04-17,12231,Su
74,74,74,74,74,74,74,579,2016-04-24,15764,Su
75,75,75,75,75,75,75,586,2016-05-01,13368,Su
76,76,76,76,76,76,76,593,2016-05-08,0,Su
77,77,77,77,77,77,77,602,2016-04-17,7150,Su
78,78,78,78,78,78,78,609,2016-04-24,7623,Su
79,79,79,79,79,79,79,616,2016-05-01,8915,Su
80,80,80,80,80,80,80,623,2016-05-08,7328,Su
81,81,81,81,81,81,81,630,2016-04-17,7851,Su
82,82,82,82,82,82,82,637,2016-04-24,5896,Su
83,83,83,83,83,83,83,644,2016-05-01,9837,Su
84,84,84,84,84,84,84,651,2016-05-08,7706,Su
85,85,85,85,85,85,85,659,2016-04-17,2497,Su
86,86,86,86,86,86,86,666,2016-04-24,2153,Su
87,87,87,87,87,87,87,673,2016-05-01,2487,Su
88,88,88,88,88,88,88,685,2016-04-17,10145,Su
89,89,89,89,89,89,89,692,2016-04-24,5029,Su
90,90,90,90,90,90,90,699,2016-05-01,5454,Su
91,91,91,91,91,91,91,706,2016-05-08,4188,Su
92,92,92,92,92,92,92,716,2016-04-17,8059,Su
93,93,93,93,93,93,93,723,2016-04-24,11085,Su
94,94,94,94,94,94,94,730,2016-05-01,5600,Su
95,95,95,95,95,95,95,742,2016-04-17,0,Su
96,96,96,96,96,96,96,749,2016-04-24,3520,Su
97,97,97,97,97,97,97,756,2016-05-01,12390,Su
98,98,98,98,98,98,98,763,2016-05-08,10677,Su
99,99,99,99,99,99,99,773,2016-04-17,18827,Su
100,100,100,100,100,100,100,780,2016-04-24,22988,Su
101,101,101,101,101,101,101,787,2016-05-01,1170,Su
102,102,102,102,102,102,102,794,2016-05-08,22026,Su
103,103,103,103,103,103,103,804,2016-04-17,10204,Su
104,104,104,104,104,104,104,811,2016-04-24,8905,Su
105,105,105,105,105,105,105,823,2016-04-17,2132,Su
106,106,106,106,106,106,106,830,2016-04-24,3703,Su
107,107,107,107,107,107,107,837,2016-05-01,11419,Su
108,108,108,108,108,108,108,844,2016-05-08,2943,Su
109,109,109,109,109,109,109,854,2016-04-17,3008,Su
110,110,110,110,110,110,110,861,2016-04-24,8286,Su
111,111,111,111,111,111,111,868,2016-05-01,4512,Su
112,112,112,112,112,112,112,875,2016-05-08,9217,Su
113,113,113,113,113,113,113,885,2016-04-17,0,Su
114,114,114,114,114,114,114,892,2016-04-24,400,Su
115,115,115,115,115,115,115,899,2016-05-01,1619,Su
116,116,116,116,116,116,116,906,2016-05-08,0,Su
117,117,117,117,117,117,117,914,2016-04-17,15118,Su
118,118,118,118,118,118,118,921,2016-04-24,16674,Su
119,119,119,119,119,119,119,928,2016-05-01,10930,Su
120,120,120,120,120,120,120,935,2016-05-08,10686,Su
