,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,fKey,ActivityDay,StepTotal,dayOfWeek
97,97,97,97,97,97,97,97,764,2016-05-09,13566,Mo
98,98,98,98,98,98,98,98,774,2016-04-18,17076,Mo
99,99,99,99,99,99,99,99,781,2016-04-25,20500,Mo
100,100,100,100,100,100,100,100,788,2016-05-02,1969,Mo
101,101,101,101,101,101,101,101,795,2016-05-09,12465,Mo
102,102,102,102,102,102,102,102,805,2016-04-18,5151,Mo
103,103,103,103,103,103,103,103,812,2016-04-25,6829,Mo
104,104,104,104,104,104,104,104,824,2016-04-18,13630,Mo
105,105,105,105,105,105,105,105,831,2016-04-25,12405,Mo
106,106,106,106,106,106,106,106,838,2016-05-02,6064,Mo
107,107,107,107,107,107,107,107,845,2016-05-09,8382,Mo
108,108,108,108,108,108,108,108,855,2016-04-18,3864,Mo
109,109,109,109,109,109,109,109,862,2016-04-25,4503,Mo
110,110,110,110,110,110,110,110,869,2016-05-02,8469,Mo
111,111,111,111,111,111,111,111,876,2016-05-09,9877,Mo
112,112,112,112,112,112,112,112,886,2016-04-18,0,Mo
113,113,113,113,113,113,113,113,893,2016-04-25,0,Mo
114,114,114,114,114,114,114,114,900,2016-05-02,1831,Mo
115,115,115,115,115,115,115,115,907,2016-05-09,0,Mo
116,116,116,116,116,116,116,116,915,2016-04-18,11423,Mo
117,117,117,117,117,117,117,117,922,2016-04-25,12986,Mo
118,118,118,118,118,118,118,118,929,2016-05-02,4790,Mo
119,119,119,119,119,119,119,119,936,2016-05-09,20226,Mo
