,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,fKey,ActivityDay,StepTotal,dayOfWeek
0,0,0,0,0,0,5,2022-08-27,8481,Sa
1,1,1,1,1,1,13,2022-04-09,10373,Sa
2,2,2,2,2,2,16,2022-07-09,10328,Sa
3,3,3,3,3,3,26,2022-09-17,11671,Sa
4,4,4,4,4,4,33,2022-09-24,6663,Sa
5,5,5,5,5,5,48,2022-09-10,1445,Sa
