,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,fKey,ActivityDay,StepTotal,dayOfWeek
0,0,0,0,0,0,0,3,2016-04-15,9762,Fr
1,1,1,1,1,1,1,10,2016-04-22,12764,Fr
2,2,2,2,2,2,2,17,2016-04-29,11181,Fr
3,3,3,3,3,3,3,24,2016-05-06,12159,Fr
4,4,4,4,4,4,4,34,2016-04-15,1510,Fr
5,5,5,5,5,5,5,41,2016-04-22,4026,Fr
6,6,6,6,6,6,6,48,2016-04-29,2390,Fr
7,7,7,7,7,7,7,55,2016-05-06,1727,Fr
8,8,8,8,8,8,8,65,2016-04-15,5263,Fr
9,9,9,9,9,9,9,72,2016-04-22,3673,Fr
10,10,10,10,10,10,10,79,2016-04-29,3176,Fr
11,11,11,11,11,11,11,86,2016-05-06,9787,Fr
12,12,12,12,12,12,12,95,2016-04-15,3844,Fr
13,13,13,13,13,13,13,102,2016-04-22,5372,Fr
14,14,14,14,14,14,14,109,2016-04-29,4920,Fr
15,15,15,15,15,15,15,116,2016-05-06,44,Fr
16,16,16,16,16,16,16,126,2016-04-15,980,Fr
17,17,17,17,17,17,17,133,2016-04-22,149,Fr
18,18,18,18,18,18,18,140,2016-04-29,0,Fr
19,19,19,19,19,19,19,147,2016-05-06,2091,Fr
20,20,20,20,20,20,20,157,2016-04-15,11034,Fr
21,21,21,21,21,21,21,164,2016-04-22,12954,Fr
22,22,22,22,22,22,22,171,2016-04-29,10245,Fr
23,23,23,23,23,23,23,178,2016-05-06,10227,Fr
24,24,24,24,24,24,24,188,2016-04-15,3821,Fr
25,25,25,25,25,25,25,195,2016-04-22,2915,Fr
26,26,26,26,26,26,26,202,2016-04-29,7604,Fr
27,27,27,27,27,27,27,209,2016-05-06,8198,Fr
28,28,28,28,28,28,28,219,2016-04-15,5205,Fr
29,29,29,29,29,29,29,226,2016-04-22,5583,Fr
30,30,30,30,30,30,30,233,2016-04-29,924,Fr
31,31,31,31,31,31,31,240,2016-05-06,4878,Fr
32,32,32,32,32,32,32,250,2016-04-15,10465,Fr
33,33,33,33,33,33,33,257,2016-04-22,7804,Fr
34,34,34,34,34,34,34,264,2016-04-29,42,Fr
35,35,35,35,35,35,35,268,2016-04-15,8482,Fr
36,36,36,36,36,36,36,275,2016-04-22,7286,Fr
37,37,37,37,37,37,37,282,2016-04-29,7365,Fr
38,38,38,38,38,38,38,289,2016-05-06,7063,Fr
39,39,39,39,39,39,39,299,2016-04-15,7451,Fr
40,40,40,40,40,40,40,306,2016-04-22,3843,Fr
41,41,41,41,41,41,41,313,2016-04-29,9135,Fr
42,42,42,42,42,42,42,319,2016-04-15,9010,Fr
43,43,43,43,43,43,43,326,2016-04-22,8911,Fr
44,44,44,44,44,44,44,333,2016-04-29,10645,Fr
45,45,45,45,45,45,45,340,2016-05-06,11677,Fr
46,46,46,46,46,46,46,349,2016-04-15,1882,Fr
47,47,47,47,47,47,47,356,2016-04-22,0,Fr
48,48,48,48,48,48,48,363,2016-04-29,0,Fr
49,49,49,49,49,49,49,370,2016-05-06,4369,Fr
50,50,50,50,50,50,50,380,2016-04-15,3984,Fr
51,51,51,51,51,51,51,384,2016-04-15,5664,Fr
52,52,52,52,52,52,52,391,2016-04-22,4500,Fr
53,53,53,53,53,53,53,398,2016-04-29,7990,Fr
54,54,54,54,54,54,54,405,2016-05-06,9524,Fr
55,55,55,55,55,55,55,415,2016-04-15,8758,Fr
56,56,56,56,56,56,56,422,2016-04-22,12139,Fr
57,57,57,57,57,57,57,429,2016-04-29,9232,Fr
58,58,58,58,58,58,58,436,2016-05-06,13175,Fr
59,59,59,59,59,59,59,446,2016-04-15,7198,Fr
60,60,60,60,60,60,60,453,2016-04-22,6831,Fr
61,61,61,61,61,61,61,460,2016-04-29,4676,Fr
62,62,62,62,62,62,62,467,2016-05-06,4514,Fr
63,63,63,63,63,63,63,477,2016-04-15,7795,Fr
64,64,64,64,64,64,64,484,2016-04-22,9601,Fr
65,65,65,65,65,65,65,491,2016-04-29,7833,Fr
66,66,66,66,66,66,66,498,2016-05-06,3755,Fr
67,67,67,67,67,67,67,508,2016-04-15,6506,Fr
68,68,68,68,68,68,68,515,2016-04-22,1664,Fr
69,69,69,69,69,69,69,522,2016-04-29,9930,Fr
70,70,70,70,70,70,70,529,2016-05-06,6943,Fr
71,71,71,71,71,71,71,539,2016-04-15,16556,Fr
72,72,72,72,72,72,72,546,2016-04-22,11682,Fr
73,73,73,73,73,73,73,553,2016-04-29,12764,Fr
74,74,74,74,74,74,74,560,2016-05-06,9632,Fr
75,75,75,75,75,75,75,570,2016-04-15,12087,Fr
76,76,76,76,76,76,76,577,2016-04-22,9172,Fr
77,77,77,77,77,77,77,584,2016-04-29,7924,Fr
78,78,78,78,78,78,78,591,2016-05-06,4950,Fr
79,79,79,79,79,79,79,600,2016-04-15,14019,Fr
80,80,80,80,80,80,80,607,2016-04-22,8206,Fr
81,81,81,81,81,81,81,614,2016-04-29,9592,Fr
82,82,82,82,82,82,82,621,2016-05-06,3365,Fr
83,83,83,83,83,83,83,628,2016-04-15,9501,Fr
84,84,84,84,84,84,84,635,2016-04-22,6238,Fr
85,85,85,85,85,85,85,642,2016-04-29,0,Fr
86,86,86,86,86,86,86,649,2016-05-06,6116,Fr
87,87,87,87,87,87,87,657,2016-04-15,1282,Fr
88,88,88,88,88,88,88,664,2016-04-22,637,Fr
89,89,89,89,89,89,89,671,2016-04-29,0,Fr
90,90,90,90,90,90,90,678,2016-05-06,4697,Fr
91,91,91,91,91,91,91,683,2016-04-15,5563,Fr
92,92,92,92,92,92,92,690,2016-04-22,10725,Fr
93,93,93,93,93,93,93,697,2016-04-29,10762,Fr
94,94,94,94,94,94,94,704,2016-05-06,5908,Fr
95,95,95,95,95,95,95,714,2016-04-15,5273,Fr
96,96,96,96,96,96,96,721,2016-04-22,15299,Fr
97,97,97,97,97,97,97,728,2016-04-29,20067,Fr
98,98,98,98,98,98,98,735,2016-05-06,11459,Fr
99,99,99,99,99,99,99,740,2016-04-15,8585,Fr
100,100,100,100,100,100,100,747,2016-04-22,9753,Fr
101,101,101,101,101,101,101,754,2016-04-29,7881,Fr
102,102,102,102,102,102,102,761,2016-05-06,12461,Fr
103,103,103,103,103,103,103,771,2016-04-15,20669,Fr
104,104,104,104,104,104,104,778,2016-04-22,10520,Fr
105,105,105,105,105,105,105,785,2016-04-29,12315,Fr
106,106,106,106,106,106,106,792,2016-05-06,13953,Fr
107,107,107,107,107,107,107,802,2016-04-15,2672,Fr
108,108,108,108,108,108,108,809,2016-04-22,2824,Fr
109,109,109,109,109,109,109,816,2016-04-29,6260,Fr
110,110,110,110,110,110,110,821,2016-04-15,14461,Fr
111,111,111,111,111,111,111,828,2016-04-22,12200,Fr
112,112,112,112,112,112,112,835,2016-04-29,6175,Fr
113,113,113,113,113,113,113,842,2016-05-06,7045,Fr
114,114,114,114,114,114,114,852,2016-04-15,3430,Fr
115,115,115,115,115,115,115,859,2016-04-22,8687,Fr
116,116,116,116,116,116,116,866,2016-04-29,15168,Fr
117,117,117,117,117,117,117,873,2016-05-06,5843,Fr
118,118,118,118,118,118,118,883,2016-04-15,2483,Fr
119,119,119,119,119,119,119,890,2016-04-22,4068,Fr
120,120,120,120,120,120,120,897,2016-04-29,8360,Fr
121,121,121,121,121,121,121,904,2016-05-06,0,Fr
122,122,122,122,122,122,122,912,2016-04-15,13422,Fr
123,123,123,123,123,123,123,919,2016-04-22,18258,Fr
124,124,124,124,124,124,124,926,2016-04-29,9733,Fr
125,125,125,125,125,125,125,933,2016-05-06,21727,Fr
