,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,fKey,ActivityDay,StepTotal,dayOfWeek
0,0,0,0,0,0,0,2,2016-04-14,10460,Th
1,1,1,1,1,1,1,9,2016-04-21,9819,Th
2,2,2,2,2,2,2,16,2016-04-28,13154,Th
3,3,3,3,3,3,3,23,2016-05-05,14070,Th
4,4,4,4,4,4,4,30,2016-05-12,0,Th
5,5,5,5,5,5,5,33,2016-04-14,9107,Th
6,6,6,6,6,6,6,40,2016-04-21,6349,Th
7,7,7,7,7,7,7,47,2016-04-28,2759,Th
8,8,8,8,8,8,8,54,2016-05-05,2470,Th
9,9,9,9,9,9,9,61,2016-05-12,2971,Th
10,10,10,10,10,10,10,64,2016-04-14,11037,Th
11,11,11,11,11,11,11,71,2016-04-21,1223,Th
12,12,12,12,12,12,12,78,2016-04-28,9405,Th
13,13,13,13,13,13,13,85,2016-05-05,4363,Th
14,14,14,14,14,14,14,94,2016-04-14,7937,Th
15,15,15,15,15,15,15,101,2016-04-21,8054,Th
16,16,16,16,16,16,16,108,2016-04-28,6907,Th
17,17,17,17,17,17,17,115,2016-05-05,2237,Th
18,18,18,18,18,18,18,122,2016-05-12,0,Th
19,19,19,19,19,19,19,125,2016-04-14,2163,Th
20,20,20,20,20,20,20,132,2016-04-21,0,Th
21,21,21,21,21,21,21,139,2016-04-28,1675,Th
22,22,22,22,22,22,22,146,2016-05-05,0,Th
23,23,23,23,23,23,23,153,2016-05-12,0,Th
24,24,24,24,24,24,24,156,2016-04-14,10690,Th
25,25,25,25,25,25,25,163,2016-04-21,12453,Th
26,26,26,26,26,26,26,170,2016-04-28,10140,Th
27,27,27,27,27,27,27,177,2016-05-05,11895,Th
28,28,28,28,28,28,28,184,2016-05-12,9117,Th
29,29,29,29,29,29,29,187,2016-04-14,3335,Th
30,30,30,30,30,30,30,194,2016-04-21,2467,Th
31,31,31,31,31,31,31,201,2016-04-28,6375,Th
32,32,32,32,32,32,32,208,2016-05-05,12167,Th
33,33,33,33,33,33,33,215,2016-05-12,8891,Th
34,34,34,34,34,34,34,218,2016-04-14,3973,Th
35,35,35,35,35,35,35,225,2016-04-21,3404,Th
36,36,36,36,36,36,36,232,2016-04-28,1532,Th
37,37,37,37,37,37,37,239,2016-05-05,5202,Th
38,38,38,38,38,38,38,246,2016-05-12,2661,Th
39,39,39,39,39,39,39,249,2016-04-14,10129,Th
40,40,40,40,40,40,40,256,2016-04-21,10080,Th
41,41,41,41,41,41,41,263,2016-04-28,5439,Th
42,42,42,42,42,42,42,267,2016-04-14,7910,Th
43,43,43,43,43,43,43,274,2016-04-21,8859,Th
44,44,44,44,44,44,44,281,2016-04-28,7913,Th
45,45,45,45,45,45,45,288,2016-05-05,8314,Th
46,46,46,46,46,46,46,295,2016-05-12,7566,Th
47,47,47,47,47,47,47,298,2016-04-14,8844,Th
48,48,48,48,48,48,48,305,2016-04-21,8857,Th
49,49,49,49,49,49,49,312,2016-04-28,5512,Th
50,50,50,50,50,50,50,318,2016-04-14,7641,Th
51,51,51,51,51,51,51,325,2016-04-21,6093,Th
52,52,52,52,52,52,52,332,2016-04-28,7114,Th
53,53,53,53,53,53,53,339,2016-05-05,12312,Th
54,54,54,54,54,54,54,348,2016-04-14,108,Th
55,55,55,55,55,55,55,355,2016-04-21,0,Th
56,56,56,56,56,56,56,362,2016-04-28,0,Th
57,57,57,57,57,57,57,369,2016-05-05,11728,Th
58,58,58,58,58,58,58,376,2016-05-12,590,Th
59,59,59,59,59,59,59,379,2016-04-14,0,Th
60,60,60,60,60,60,60,383,2016-04-14,10210,Th
61,61,61,61,61,61,61,390,2016-04-21,3702,Th
62,62,62,62,62,62,62,397,2016-04-28,10817,Th
63,63,63,63,63,63,63,404,2016-05-05,13658,Th
64,64,64,64,64,64,64,411,2016-05-12,17,Th
65,65,65,65,65,65,65,414,2016-04-14,8863,Th
66,66,66,66,66,66,66,421,2016-04-21,10055,Th
67,67,67,67,67,67,67,428,2016-04-28,10074,Th
68,68,68,68,68,68,68,435,2016-05-05,9603,Th
69,69,69,69,69,69,69,442,2016-05-12,3369,Th
70,70,70,70,70,70,70,445,2016-04-14,3974,Th
71,71,71,71,71,71,71,452,2016-04-21,3809,Th
72,72,72,72,72,72,72,459,2016-04-28,4493,Th
73,73,73,73,73,73,73,466,2016-05-05,3800,Th
74,74,74,74,74,74,74,473,2016-05-12,768,Th
75,75,75,75,75,75,75,476,2016-04-14,6799,Th
76,76,76,76,76,76,76,483,2016-04-21,13743,Th
77,77,77,77,77,77,77,490,2016-04-28,9451,Th
78,78,78,78,78,78,78,497,2016-05-05,10611,Th
79,79,79,79,79,79,79,504,2016-05-12,6307,Th
80,80,80,80,80,80,80,507,2016-04-14,7860,Th
81,81,81,81,81,81,81,514,2016-04-21,6530,Th
82,82,82,82,82,82,82,521,2016-04-28,9023,Th
83,83,83,83,83,83,83,528,2016-05-05,8614,Th
84,84,84,84,84,84,84,535,2016-05-12,2752,Th
85,85,85,85,85,85,85,538,2016-04-14,17022,Th
86,86,86,86,86,86,86,545,2016-04-21,12346,Th
87,87,87,87,87,87,87,552,2016-04-28,11393,Th
88,88,88,88,88,88,88,559,2016-05-05,14331,Th
89,89,89,89,89,89,89,566,2016-05-12,3121,Th
90,90,90,90,90,90,90,569,2016-04-14,8596,Th
91,91,91,91,91,91,91,576,2016-04-21,10830,Th
92,92,92,92,92,92,92,583,2016-04-28,9841,Th
93,93,93,93,93,93,93,590,2016-05-05,7550,Th
94,94,94,94,94,94,94,599,2016-04-14,0,Th
95,95,95,95,95,95,95,606,2016-04-21,19542,Th
96,96,96,96,96,96,96,613,2016-04-28,3403,Th
97,97,97,97,97,97,97,620,2016-05-05,9799,Th
98,98,98,98,98,98,98,627,2016-04-14,7671,Th
99,99,99,99,99,99,99,634,2016-04-21,0,Th
100,100,100,100,100,100,100,641,2016-04-28,5731,Th
101,101,101,101,101,101,101,648,2016-05-05,6339,Th
102,102,102,102,102,102,102,656,2016-04-14,5162,Th
103,103,103,103,103,103,103,663,2016-04-21,0,Th
104,104,104,104,104,104,104,670,2016-04-28,703,Th
105,105,105,105,105,105,105,677,2016-05-05,0,Th
106,106,106,106,106,106,106,682,2016-04-14,1551,Th
107,107,107,107,107,107,107,689,2016-04-21,11835,Th
108,108,108,108,108,108,108,696,2016-04-28,12627,Th
109,109,109,109,109,109,109,703,2016-05-05,10524,Th
