,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,fKey,ActivityDay,StepTotal,dayOfWeek
110,110,110,110,110,110,110,710,2016-05-12,3587,Th
111,111,111,111,111,111,111,713,2016-04-14,11179,Th
112,112,112,112,112,112,112,720,2016-04-21,13744,Th
113,113,113,113,113,113,113,727,2016-04-28,15128,Th
114,114,114,114,114,114,114,734,2016-05-05,15010,Th
115,115,115,115,115,115,115,739,2016-04-14,9123,Th
116,116,116,116,116,116,116,746,2016-04-21,9469,Th
117,117,117,117,117,117,117,753,2016-04-28,11584,Th
118,118,118,118,118,118,118,760,2016-05-05,8564,Th
119,119,119,119,119,119,119,767,2016-05-12,3789,Th
120,120,120,120,120,120,120,770,2016-04-14,20159,Th
121,121,121,121,121,121,121,777,2016-04-21,16057,Th
122,122,122,122,122,122,122,784,2016-04-28,15447,Th
123,123,123,123,123,123,123,791,2016-05-05,14990,Th
124,124,124,124,124,124,124,798,2016-05-12,4998,Th
125,125,125,125,125,125,125,801,2016-04-14,5234,Th
126,126,126,126,126,126,126,808,2016-04-21,11268,Th
127,127,127,127,127,127,127,815,2016-04-28,2718,Th
128,128,128,128,128,128,128,820,2016-04-14,13318,Th
129,129,129,129,129,129,129,827,2016-04-21,15148,Th
130,130,130,130,130,130,130,834,2016-04-28,5417,Th
131,131,131,131,131,131,131,841,2016-05-05,8567,Th
132,132,132,132,132,132,132,848,2016-05-12,4561,Th
133,133,133,133,133,133,133,851,2016-04-14,3135,Th
134,134,134,134,134,134,134,858,2016-04-21,8538,Th
135,135,135,135,135,135,135,865,2016-04-28,6174,Th
136,136,136,136,136,136,136,872,2016-05-05,12427,Th
137,137,137,137,137,137,137,879,2016-05-12,0,Th
138,138,138,138,138,138,138,882,2016-04-14,1219,Th
139,139,139,139,139,139,139,889,2016-04-21,144,Th
140,140,140,140,140,140,140,896,2016-04-28,6157,Th
141,141,141,141,141,141,141,903,2016-05-05,0,Th
142,142,142,142,142,142,142,911,2016-04-14,21129,Th
143,143,143,143,143,143,143,918,2016-04-21,19377,Th
144,144,144,144,144,144,144,925,2016-04-28,14890,Th
145,145,145,145,145,145,145,932,2016-05-05,14055,Th
146,146,146,146,146,146,146,939,2016-05-12,8064,Th
