fKey,ActivityDay,StepTotal,dayOfWeek
6,2022-08-28,6642,6
10,2022-01-09,10496,6
19,2022-10-09,10239,6
27,2022-09-18,11770,6
34,2022-09-25,5590,6
43,2022-04-10,15032,6
46,2022-07-10,17265,6
