,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,fKey,ActivityDay,StepTotal,dayOfWeek
0,0,0,0,0,0,4,2022-08-26,10514,Fr
1,1,1,1,1,1,18,2022-09-09,11721,Fr
2,2,2,2,2,2,21,2022-12-09,10290,Fr
3,3,3,3,3,3,25,2022-09-16,11492,Fr
4,4,4,4,4,4,32,2022-09-23,5998,Fr
5,5,5,5,5,5,39,2022-09-30,12522,Fr
6,6,6,6,6,6,45,2022-06-10,13651,Fr
