,ActivityDay,StepTotal,dayOfWeek
1,2022-08-23,14892,1
8,2022-08-30,14239,1
17,2022-08-09,11607,1
22,2022-09-13,10179,1
29,2022-09-20,19232,1
36,2022-09-27,16627,1
44,2022-05-10,18014,1
