,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,fKey,ActivityDay,StepTotal,dayOfWeek
0,0,0,0,0,0,3,2022-08-25,7141,Th
1,1,1,1,1,1,15,2022-06-09,15082,Th
2,2,2,2,2,2,24,2022-09-15,11842,Th
3,3,3,3,3,3,31,2022-09-22,10932,Th
4,4,4,4,4,4,38,2022-09-29,11903,Th
5,5,5,5,5,5,41,2022-02-10,14982,Th
6,6,6,6,6,6,42,2022-03-10,18532,Th
