,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,fKey,ActivityDay,StepTotal,dayOfWeek
0,0,0,0,0,0,2,2022-08-24,10504,We
1,1,1,1,1,1,9,2022-08-31,12053,We
2,2,2,2,2,2,11,2022-02-09,10204,We
3,3,3,3,3,3,12,2022-03-09,9279,We
4,4,4,4,4,4,20,2022-11-09,2732,We
5,5,5,5,5,5,23,2022-09-14,10325,We
6,6,6,6,6,6,30,2022-09-21,20188,We
7,7,7,7,7,7,37,2022-09-28,12338,We
8,8,8,8,8,8,47,2022-08-10,10870,We
